GEOID,NAME,variable,estimate,moe
53049,"Pacific County, Washington",edu_ged,809,214.46808510638297
53051,"Pend Oreille County, Washington",pop,13302,NA
53051,"Pend Oreille County, Washington",pop_white,11536,270.46808510638294
53051,"Pend Oreille County, Washington",pop_black,41,53.61702127659574
53051,"Pend Oreille County, Washington",pop_native,383,137.02127659574467
53051,"Pend Oreille County, Washington",pop_asian,59,66.72340425531914
53051,"Pend Oreille County, Washington",pop_latinx,586,NA
53051,"Pend Oreille County, Washington",edu_total,9699,95.31914893617021
53051,"Pend Oreille County, Washington",edu_8th,58,50.04255319148936
53051,"Pend Oreille County, Washington",edu_9th,162,90.5531914893617
53051,"Pend Oreille County, Washington",edu_10th,140,69.1063829787234
53051,"Pend Oreille County, Washington",edu_11th,135,59.57446808510638
53051,"Pend Oreille County, Washington",edu_12th,114,50.04255319148936
53051,"Pend Oreille County, Washington",edu_hs,2667,402.7234042553191
53051,"Pend Oreille County, Washington",edu_ged,436,120.34042553191489
53053,"Pierce County, Washington",pop,910225,NA
53053,"Pierce County, Washington",pop_white,634333,3041.8723404255315
53053,"Pierce County, Washington",pop_black,63054,2105.3617021276596
53053,"Pierce County, Washington",pop_native,10785,1363.063829787234
53053,"Pierce County, Washington",pop_asian,59164,2021.9574468085104
53053,"Pierce County, Washington",pop_latinx,105793,NA
53053,"Pierce County, Washington",edu_total,615128,NA
53053,"Pierce County, Washington",edu_8th,2921,542.1276595744681
53053,"Pierce County, Washington",edu_9th,4399,741.1063829787233
53053,"Pierce County, Washington",edu_10th,6171,851.9148936170212
53053,"Pierce County, Washington",edu_11th,9454,926.9787234042552
53053,"Pierce County, Washington",edu_12th,12653,1009.1914893617021
53053,"Pierce County, Washington",edu_hs,135701,3632.851063829787
53053,"Pierce County, Washington",edu_ged,27099,1765.787234042553
53055,"San Juan County, Washington",pop,17631,NA
53055,"San Juan County, Washington",pop_white,15954,91.74468085106382
53055,"San Juan County, Washington",pop_black,164,71.48936170212765
53055,"San Juan County, Washington",pop_native,128,48.85106382978723
53055,"San Juan County, Washington",pop_asian,233,36.93617021276596
53055,"San Juan County, Washington",pop_latinx,1181,NA
53055,"San Juan County, Washington",edu_total,14457,75.06382978723404
53055,"San Juan County, Washington",edu_8th,10,13.106382978723403
53055,"San Juan County, Washington",edu_9th,54,35.744680851063826
53055,"San Juan County, Washington",edu_10th,110,44.08510638297872
53055,"San Juan County, Washington",edu_11th,126,58.38297872340425
53055,"San Juan County, Washington",edu_12th,154,50.04255319148936
53055,"San Juan County, Washington",edu_hs,2102,203.74468085106383
53055,"San Juan County, Washington",edu_ged,270,64.34042553191489
53057,"Skagit County, Washington",pop,128228,NA
53057,"Skagit County, Washington",pop_white,101807,1413.1063829787233
53057,"Skagit County, Washington",pop_black,961,159.6595744680851
53057,"Skagit County, Washington",pop_native,2291,641.0212765957447
53057,"Skagit County, Washington",pop_asian,2492,243.06382978723403
53057,"Skagit County, Washington",pop_latinx,24325,NA
53057,"Skagit County, Washington",edu_total,90674,129.87234042553192
53057,"Skagit County, Washington",edu_8th,419,141.7872340425532
53057,"Skagit County, Washington",edu_9th,1191,337.1914893617021
